customer_id,monthly_web_sessions,monthly_app_sessions,avg_session_duration_min,self_service_transactions
bc99c4b918ed18c5,9,3,17.2,4
b2e378938f3d213a,0,21,6.3,0
ca56cbd5c290565b,9,0,10.9,1
ff86d1ab6274a49f,4,8,21.0,5
b5728b7fe5b22538,13,0,15.2,3
f4fe4b4c872d4dc6,4,10,6.6,3
775ebedc791f7fcc,8,2,22.0,4
55f7b5cc41062491,11,8,8.6,7
5b66891f06c1b32b,26,6,6.6,2
ae3262443e521c11,8,14,13.4,10
7020b62b156e377f,6,9,10.1,3
d7295a9339cf5ac0,15,2,11.0,5
6e748cdb7667a2ff,4,11,10.3,5
987388bc3575277e,4,18,12.1,8
0614876edb7a81b7,7,7,12.4,3
24b1b53ad693f4b0,13,0,13.7,7
5ba382aa7582d5ba,6,2,14.2,4
808e182391b51578,14,0,4.2,4
391d0ed3d62b5e3c,5,3,11.9,1
90d926b25b8f91a1,12,2,15.4,2
3b97c56363545466,5,28,17.5,10
37445dba16c4bc6d,7,8,10.9,1
b1a1232e8939b06b,0,21,8.5,2
69f09c99e99a219d,9,6,7.5,4
5fd64a0b57c4fb0a,5,10,11.9,3
05b07554daecbdfd,5,5,19.0,2
84f436a7f5d0eece,10,6,10.8,6
027fa0510b317e89,7,1,10.4,3
2ce46f4511f358d2,8,15,10.9,7
229d0cfd38e6b317,9,3,17.3,2
15af4e7ec7cb35e2,4,5,18.2,2
fba871dff120b91e,2,6,5.0,2
7f9c3a9037162771,5,5,13.1,1
5b61b78147c0681b,17,0,7.6,4
f2879f9094bece2c,11,3,12.9,2
bd5330f183223d44,6,1,14.4,2
9a26cf3566b3ef4c,10,1,15.5,5
2275584f1ac87bcb,9,3,15.8,2
3bfacafe11844e97,4,3,23.6,1
140f57b8b687ee67,7,5,19.9,4
7b139bd1d3654683,22,2,9.7,1
85c01c2d7a9e18d1,5,9,9.3,6
48973778cf10fc15,13,17,13.9,9
9007e3dd3e1e9a63,12,8,12.9,3
5b2ab5cf82af681a,7,7,12.6,5
c18ca776d96260d8,8,0,15.3,2
8873eafce12cbae2,5,18,18.6,4
42060259d81626b0,2,31,2.6,11
840ee4fcb448aeaa,8,1,4.6,0
85ef579108b681d4,8,16,14.8,2
a22d3779bff97a6e,4,4,15.9,3
988cb6000cbe03cd,7,5,16.4,3
58a31580d5b844ef,12,14,2.0,1
3eae138560a50297,7,11,11.3,4
ed9d87f833a21622,9,16,7.5,2
a838050b36c551af,10,0,19.5,7
1fd35a5a20a4839d,10,8,1.0,3
29e072ba2c755ec1,7,18,10.6,4
1b8624a6c7d05fe3,4,11,3.1,1
4b170a397045249a,2,11,20.6,3
d4b1696dc5e1e73e,6,3,12.4,2
5a506a5135d297e5,5,2,18.1,2
7b5f8066095b9e86,10,4,14.6,2
215016c0ab4881c3,7,16,11.0,7
eadf83c82aa9344d,15,0,21.0,9
921616de58b647ae,10,0,6.9,2
336f0716a72da425,3,14,11.6,2
084b8cd578b01f29,7,13,1.0,8
a1d8dcc5bae74561,9,0,20.1,5
8aac151eac01acb4,9,11,11.3,12
eb9cd6e41d8acaba,9,7,11.4,4
58104766c363a8e5,2,4,9.4,0
5dc251b0ea3dd5a8,6,2,6.1,1
d4867d3e35a84e10,9,25,7.9,5
738ee2d2dec7c70f,10,3,19.8,5
726511f52718404f,5,1,11.7,1
5c8fd46b6c360bb2,5,1,16.0,2
a27fcb27bc157766,9,2,16.5,5
1f3770c34d2c300a,3,13,7.0,2
7ad65835abec24b3,6,16,9.4,6
48c83a848a5de322,6,1,13.6,1
7533c2717e4bf256,4,0,3.0,1
8aa93f0ec5e69819,7,3,30.4,3
9d4efdb7a6e75f15,4,5,10.2,0
7a4b14c4a2a6bc52,9,3,10.2,2
02625270a6093702,5,16,8.3,6
9c27c7556f68be95,9,13,9.4,4
18c8c9fb8581d34b,7,0,18.1,1
834e94844579b04a,7,0,25.4,2
950b13eddac5a469,5,2,18.5,1
969deefef9468465,6,1,12.2,3
aadb9172950e9841,10,14,12.1,2
ac54394ee7c2a5e7,8,4,10.2,4
f7839006ad213dc0,11,4,20.2,6
31beb38d91f80f79,10,0,17.9,4
c3bed7fd4a63db02,0,33,11.6,15
66ed13448f78057b,5,11,18.3,1
3a2bb5828084c106,7,6,13.4,4
594fb571aec6ef86,16,2,15.4,3
0fb224a91de7fb5b,3,4,18.9,2
06b5270c3238362f,8,5,14.0,3
6889d7dfc9be00ff,3,21,13.2,5
d29ed61b989575ca,1,7,9.7,2
c021dd83812c4e8f,13,9,13.2,1
7f637a28dc6a35a8,0,14,13.8,2
ef0eccf4ee8e4eee,10,3,3.0,2
00c8eb602ca07505,7,12,18.2,4
8ba400400af6e98a,5,3,12.8,2
0abbf32476d1ec0d,17,1,8.7,2
0c9e19be66462560,3,26,9.5,8
4d404680cb3102f4,4,2,12.8,4
4ee9037dc4fa8870,4,8,9.4,2
e7d1a1038365425f,4,3,13.9,2
4eaedb4cac20817a,13,4,27.5,3
f430ce0ff745ad72,5,2,16.7,2
bbce839de493d26e,10,0,20.4,3
bd5c35142706d5a9,2,3,20.9,0
3f7b30a293f75aa6,9,18,8.4,3
f45fbbb952151b69,2,0,14.1,0
7c9aca82f2f2d9d3,8,3,8.9,2
966ed9640d83281d,7,3,17.6,4
41b92410cb27bdc0,6,8,13.1,2
05dd179b1b785652,8,8,11.4,5
1e8b0a3ad986fe62,3,3,16.2,1
06fd3451f76566c1,3,0,21.7,0
922d0dec1f048950,3,2,20.9,3
40782170a4ceef91,4,11,10.2,4
beba99b50a0cdb18,5,9,10.2,1
e3b85f403916098b,8,3,19.1,3
6091e4c7ad0254be,10,7,15.8,7
93b707ba610d675c,1,24,4.6,2
9c0f03c4c5272490,6,10,8.5,2
a3e098fbbecf29fb,9,8,12.1,3
969e48e3f2f5b122,5,9,9.1,6
5bc28426c2a49bee,19,2,10.1,14
b21b0edc0a1e1569,14,2,20.7,3
be6bbfb542bc3fce,7,17,6.8,7
a5feeec56c2ea862,17,22,10.9,4
972f8b223eec9c78,13,0,5.9,6
aa3839c8e01f3ff8,14,7,3.4,6
afac2075b097112a,12,1,5.8,6
98e0e6a54484a066,3,8,12.5,3
c801e397e94fe215,16,4,10.5,10
312a868130472c03,2,9,14.7,2
0ff5b68dc15d2f28,7,19,9.8,4
7efb5b0a3a3e6e63,8,5,13.7,3
ae3c96b3fadf1a11,2,11,2.8,4
f4a9696846955b01,0,26,12.7,3
80e0e72988f6ff41,6,15,13.8,7
421b6dffab174887,3,8,11.2,2
de2f549f50b81451,6,3,22.3,2
29ca721dd5a0dd0f,8,11,13.6,2
4dfefc1a1e6abad2,4,2,9.1,5
e540320e6d572304,8,0,17.3,0
f4bdd119019e20b9,19,4,10.6,6
88d4e7e9efa83f0f,8,9,7.2,3
9f609a5085cf0df2,5,3,17.6,2
608e0c062f19a18e,6,0,23.5,2
4a492b5599051c54,8,5,10.3,3
37b3c90bdde30b65,15,0,14.7,5
36ddcc4fd592c185,9,6,8.3,2
556a1dea0452c6a1,20,3,8.6,4
e9e1dbf7c917bc0e,8,8,17.6,9
c61a22ee630facd3,5,0,12.3,0
b181d8f7d33ca031,4,4,12.1,3
3d10a05ed72c67a1,3,11,8.0,6
48c7d1f263857abb,11,9,19.0,2
26b610dabefedcb4,8,12,3.8,12
3efc2011745eaf83,7,2,13.4,1
25865a1d7d1b5e17,9,21,5.6,10
852ce8c4a6cd50fa,6,4,6.7,2
4692d72c24b5ccdb,4,8,15.8,1
b6f20ac367cd0a9a,13,7,14.3,4
e0073924ac9cc559,18,6,11.6,1
551a3ff6d230db36,3,5,15.3,1
9ccc168bd9d17832,6,18,7.3,5
0e52fe8d0c1330f3,12,0,15.0,2
078890bc9cfe36ab,12,16,11.4,4
1a50c8cc6cf0250d,8,0,13.5,0
17db1bab7bfc5cda,8,1,10.0,5
578e60e3d5ea5f84,18,16,9.8,9
0d948130528d68f1,8,2,10.8,2
cecb0e2361db767c,3,4,13.9,4
a583b7fb78095bbc,4,13,22.6,9
02444a0e94bf5cb4,11,1,10.9,4
bab5abb3558e50b5,5,5,18.9,3
c91bacd6a30aa469,5,3,13.7,2
bf48e7373f32cceb,4,3,19.0,4
070707d13f017b3b,4,1,15.2,2
8e785a0cf440e506,11,6,10.7,2
86fb371c8cfa0ae5,10,18,14.4,1
456552f2836521f6,4,19,6.0,7
a10a26df490257ce,9,15,1.0,2
81779d35b9b222b1,6,12,10.2,5
8573f0f0649f3bf4,7,0,14.1,1
3b228c035f9aecaa,8,19,11.7,9
375ed28e27e80876,10,22,1.0,9
afa89c88ef1414eb,8,5,24.9,2
6353d82bf503f2c0,8,9,20.2,2
63a84b28fad4ef93,5,8,9.8,3
02a63ffa0ada161c,5,24,17.0,4
d94339c41935a735,10,6,15.8,6
7800c9377a73041b,10,2,18.3,1
68ed82beb8916387,4,3,12.1,3
280e1a9c2a20c1d4,16,2,9.5,4
ed23871c3726d3ac,0,13,19.3,3
62206b36783a6029,13,7,8.2,4
