customer_id,age,gender,city,annual_income,tenure_months,join_date,plan_type,monthly_data_gb,monthly_minutes,ott_usage_hours,arpu,data_allowance_gb,minutes_allowance,satisfaction_score,num_complaints_12m,support_tickets_12m,payment_score,late_payments_12m,campaigns_exposed,total_impressions,total_clicks,total_conversions,primary_channel,monthly_web_sessions,monthly_app_sessions,avg_session_duration_min,self_service_transactions,churned,churn_date,churn_probability
bc99c4b918ed18c5,33,Female,Houston,49731,14,2023-08-07,Standard,8.65,902,6.1,50.0,10,1000,9.9,0,2,300,0,8,63,4,0,SMS_Offer,9,3,17.2,4,0,,0.105
b2e378938f3d213a,18,Male,Houston,22607,1,2024-08-31,Standard,8.4,676,0.9,45.0,10,1000,7.0,0,2,300,0,8,73,0,0,TV_Commercial,0,21,6.3,0,1,2024-09-30,0.4
ca56cbd5c290565b,63,Male,New York,115804,17,2023-05-09,Premium,36.01,501,8.8,75.0,50,2000,9.0,0,1,300,0,6,38,4,0,Referral_Program,9,0,10.9,1,0,,0.15
ff86d1ab6274a49f,35,Male,Los Angeles,38956,36,2021-10-16,Standard,3.72,782,10.7,45.0,10,1000,9.9,0,2,300,0,8,62,0,0,Email_Promotion,4,8,21.0,5,0,,0.105
b5728b7fe5b22538,44,Male,San Diego,57822,27,2022-07-13,Premium,27.32,1526,26.7,81.49,50,2000,8.6,0,2,300,0,4,18,1,0,Referral_Program,13,0,15.2,3,0,,0.12
f4fe4b4c872d4dc6,32,Male,Phoenix,52641,13,2023-09-06,Premium,19.31,697,12.2,75.0,50,2000,8.2,0,3,300,0,6,42,0,0,Email_Promotion,4,10,6.6,3,0,,0.19
775ebedc791f7fcc,54,Male,Chicago,44536,18,2023-04-09,Standard,8.72,192,21.2,55.65,10,1000,5.7,3,4,300,0,8,54,1,0,Search_Ads,8,2,22.0,4,0,,0.615
55f7b5cc41062491,18,Female,Phoenix,20000,9,2024-01-04,Standard,6.28,514,0.8,56.43,10,1000,7.4,2,4,300,0,8,63,2,1,Online_Display,11,8,8.6,7,1,2024-02-03,0.51
5b66891f06c1b32b,26,Male,San Antonio,20000,10,2023-12-05,Standard,6.75,794,1.2,62.19,10,1000,8.7,1,2,300,0,8,74,1,0,Referral_Program,26,6,6.6,2,0,,0.345
ae3262443e521c11,19,Male,New York,54109,1,2024-08-31,Standard,10.29,697,51.3,47.9,10,1000,9.9,0,3,300,0,7,60,2,1,Online_Display,8,14,13.4,10,1,2024-09-30,0.255
7020b62b156e377f,31,Male,San Antonio,44617,29,2022-05-14,Basic,0.63,278,10.3,25.0,2,500,9.2,0,4,300,0,4,25,3,1,Referral_Program,6,9,10.1,3,0,,0.26
d7295a9339cf5ac0,45,Female,San Antonio,54500,14,2023-08-07,Standard,6.17,674,7.9,46.12,10,1000,7.0,1,1,300,0,3,14,1,0,TV_Commercial,15,2,11.0,5,0,,0.35
6e748cdb7667a2ff,39,Male,Phoenix,38612,24,2022-10-11,Standard,5.35,1210,5.7,45.0,10,1000,7.3,2,2,300,0,6,44,1,0,SMS_Offer,4,11,10.3,5,0,,0.435
987388bc3575277e,18,Other,San Antonio,41437,30,2022-04-14,Standard,12.07,1182,37.8,65.66,10,1000,8.1,0,4,300,0,7,54,0,0,Search_Ads,4,18,12.1,8,0,,0.255
0614876edb7a81b7,41,Female,Los Angeles,86243,1,2024-08-31,Unlimited,331.22,11400,12.1,118.97,999,9999,7.8,0,3,300,0,8,71,0,0,Referral_Program,7,7,12.4,3,0,,0.31
24b1b53ad693f4b0,44,Male,Chicago,54008,28,2022-06-13,Basic,0.83,166,25.7,28.62,2,500,8.9,1,5,300,0,8,76,2,0,Direct_Mail,13,0,13.7,7,0,,0.375
5ba382aa7582d5ba,55,Male,Dallas,93908,21,2023-01-09,Unlimited,860.48,11937,4.0,101.72,999,9999,10.0,1,3,300,0,6,53,1,0,SMS_Offer,6,2,14.2,4,0,,0.15
808e182391b51578,46,Male,New York,85604,14,2023-08-07,Basic,1.27,193,2.3,34.09,2,500,7.6,1,4,300,0,8,56,0,0,Email_Promotion,14,0,4.2,4,0,,0.32
391d0ed3d62b5e3c,56,Male,New York,74430,10,2023-12-05,Premium,34.72,1268,4.1,75.0,50,2000,9.4,1,4,300,0,7,46,1,1,Search_Ads,5,3,11.9,1,1,2024-01-04,0.31
90d926b25b8f91a1,54,Male,Los Angeles,46956,8,2024-02-03,Basic,1.67,151,1.8,34.72,2,500,8.6,0,5,300,0,5,23,0,0,Online_Display,12,2,15.4,2,0,,0.25
3b97c56363545466,18,Male,New York,45737,9,2024-01-04,Basic,1.68,347,13.7,25.45,2,500,8.2,0,3,300,0,8,56,2,0,Referral_Program,5,28,17.5,10,0,,0.39
37445dba16c4bc6d,34,Female,Los Angeles,41103,1,2024-08-31,Basic,1.77,268,18.8,43.16,2,500,6.7,1,1,300,0,2,20,2,0,Online_Display,7,8,10.9,1,1,2024-09-30,0.515
b1a1232e8939b06b,18,Male,New York,38482,22,2022-12-10,Standard,4.85,244,0.8,45.0,10,1000,10.0,0,3,300,0,8,48,3,0,Social_Media,0,21,8.5,2,0,,0.1
69f09c99e99a219d,35,Male,Houston,42337,27,2022-07-13,Standard,9.16,175,38.1,57.32,10,1000,8.8,0,3,300,0,5,46,2,0,Direct_Mail,9,6,7.5,4,0,,0.16
5fd64a0b57c4fb0a,47,Male,Phoenix,50434,34,2021-12-15,Standard,3.44,792,28.2,72.96,10,1000,7.1,2,4,300,0,2,10,0,0,TV_Commercial,5,10,11.9,3,0,,0.445
05b07554daecbdfd,52,Male,San Jose,67079,12,2023-10-06,Premium,50.2,707,23.5,89.04,50,2000,7.0,0,2,300,0,8,47,2,0,Online_Display,5,5,19.0,2,1,2023-11-05,0.2
84f436a7f5d0eece,34,Male,New York,73641,21,2023-01-09,Standard,5.02,570,45.4,45.0,10,1000,8.1,0,6,300,0,8,60,4,0,Search_Ads,10,6,10.8,6,0,,0.195
027fa0510b317e89,52,Female,Los Angeles,51513,2,2024-08-01,Premium,22.14,376,4.3,75.0,50,2000,5.6,1,1,300,0,8,62,1,0,Search_Ads,7,1,10.4,3,0,,0.57
2ce46f4511f358d2,28,Female,New York,79623,10,2023-12-05,Standard,14.85,918,29.1,93.49,10,1000,7.7,0,2,300,0,5,40,2,1,Referral_Program,8,15,10.9,7,0,,0.305
229d0cfd38e6b317,45,Female,New York,38932,4,2024-06-02,Basic,1.46,258,30.0,32.74,2,500,7.2,3,4,300,0,8,63,2,0,Online_Display,9,3,17.3,2,1,2024-07-02,0.69
15af4e7ec7cb35e2,62,Male,New York,134273,54,2020-04-24,Standard,6.29,461,5.6,45.0,10,1000,10.0,1,4,300,0,3,36,0,0,Social_Media,4,5,18.2,2,0,,0.2
fba871dff120b91e,39,Male,Phoenix,47033,45,2021-01-19,Standard,11.39,238,5.4,63.41,10,1000,9.6,0,3,300,0,8,64,0,0,TV_Commercial,2,6,5.0,2,0,,0.12
