customer_id,plan_type,monthly_data_gb,monthly_minutes,ott_usage_hours,arpu,data_allowance_gb,minutes_allowance
bc99c4b918ed18c5,Standard,8.65,902,6.1,50.0,10,1000
b2e378938f3d213a,Standard,8.4,676,0.9,45.0,10,1000
ca56cbd5c290565b,Premium,36.01,501,8.8,75.0,50,2000
ff86d1ab6274a49f,Standard,3.72,782,10.7,45.0,10,1000
b5728b7fe5b22538,Premium,27.32,1526,26.7,81.49,50,2000
f4fe4b4c872d4dc6,Premium,19.31,697,12.2,75.0,50,2000
775ebedc791f7fcc,Standard,8.72,192,21.2,55.65,10,1000
55f7b5cc41062491,Standard,6.28,514,0.8,56.43,10,1000
5b66891f06c1b32b,Standard,6.75,794,1.2,62.19,10,1000
ae3262443e521c11,Standard,10.29,697,51.3,47.9,10,1000
7020b62b156e377f,Basic,0.63,278,10.3,25.0,2,500
d7295a9339cf5ac0,Standard,6.17,674,7.9,46.12,10,1000
6e748cdb7667a2ff,Standard,5.35,1210,5.7,45.0,10,1000
987388bc3575277e,Standard,12.07,1182,37.8,65.66,10,1000
0614876edb7a81b7,Unlimited,331.22,11400,12.1,118.97,999,9999
24b1b53ad693f4b0,Basic,0.83,166,25.7,28.62,2,500
5ba382aa7582d5ba,Unlimited,860.48,11937,4.0,101.72,999,9999
808e182391b51578,Basic,1.27,193,2.3,34.09,2,500
391d0ed3d62b5e3c,Premium,34.72,1268,4.1,75.0,50,2000
90d926b25b8f91a1,Basic,1.67,151,1.8,34.72,2,500
3b97c56363545466,Basic,1.68,347,13.7,25.45,2,500
37445dba16c4bc6d,Basic,1.77,268,18.8,43.16,2,500
b1a1232e8939b06b,Standard,4.85,244,0.8,45.0,10,1000
69f09c99e99a219d,Standard,9.16,175,38.1,57.32,10,1000
5fd64a0b57c4fb0a,Standard,3.44,792,28.2,72.96,10,1000
05b07554daecbdfd,Premium,50.2,707,23.5,89.04,50,2000
84f436a7f5d0eece,Standard,5.02,570,45.4,45.0,10,1000
027fa0510b317e89,Premium,22.14,376,4.3,75.0,50,2000
2ce46f4511f358d2,Standard,14.85,918,29.1,93.49,10,1000
229d0cfd38e6b317,Basic,1.46,258,30.0,32.74,2,500
15af4e7ec7cb35e2,Standard,6.29,461,5.6,45.0,10,1000
fba871dff120b91e,Standard,11.39,238,5.4,63.41,10,1000
7f9c3a9037162771,Unlimited,824.26,3397,0.1,104.85,999,9999
5b61b78147c0681b,Premium,39.62,1890,14.4,76.14,50,2000
f2879f9094bece2c,Standard,9.94,390,7.7,66.62,10,1000
bd5330f183223d44,Premium,65.14,536,0.7,231.5,50,2000
9a26cf3566b3ef4c,Basic,0.7,437,6.5,36.14,2,500
2275584f1ac87bcb,Unlimited,599.52,3135,10.3,98.27,999,9999
3bfacafe11844e97,Unlimited,354.04,1989,2.7,100.71,999,9999
140f57b8b687ee67,Basic,1.33,312,4.2,25.0,2,500
7b139bd1d3654683,Unlimited,549.3,5693,49.3,97.93,999,9999
85c01c2d7a9e18d1,Standard,4.95,240,9.7,56.96,10,1000
48973778cf10fc15,Standard,13.66,252,9.3,81.62,10,1000
9007e3dd3e1e9a63,Standard,8.39,398,10.5,51.85,10,1000
5b2ab5cf82af681a,Premium,76.63,1260,1.0,357.33,50,2000
c18ca776d96260d8,Basic,2.38,379,36.8,28.84,2,500
8873eafce12cbae2,Standard,15.48,309,8.4,99.82,10,1000
42060259d81626b0,Basic,1.83,221,22.8,25.0,2,500
840ee4fcb448aeaa,Standard,3.84,681,19.6,58.17,10,1000
85ef579108b681d4,Standard,4.52,467,1.9,55.89,10,1000
a22d3779bff97a6e,Unlimited,916.05,2793,6.3,95.0,999,9999
988cb6000cbe03cd,Premium,51.86,629,24.6,93.58,50,2000
58a31580d5b844ef,Basic,1.34,185,9.0,30.31,2,500
3eae138560a50297,Basic,2.52,277,5.7,30.21,2,500
ed9d87f833a21622,Basic,1.81,391,6.8,25.42,2,500
a838050b36c551af,Premium,40.42,446,6.2,95.69,50,2000
1fd35a5a20a4839d,Basic,1.13,225,16.2,33.0,2,500
29e072ba2c755ec1,Basic,3.65,266,14.5,51.5,2,500
1b8624a6c7d05fe3,Basic,4.19,184,25.5,67.03,2,500
4b170a397045249a,Standard,8.83,338,13.7,51.06,10,1000
d4b1696dc5e1e73e,Unlimited,730.96,6997,18.8,95.0,999,9999
5a506a5135d297e5,Standard,3.12,44,3.5,62.56,10,1000
7b5f8066095b9e86,Premium,29.42,914,9.0,77.53,50,2000
215016c0ab4881c3,Standard,6.28,730,25.5,45.0,10,1000
eadf83c82aa9344d,Standard,5.13,648,14.5,66.73,10,1000
921616de58b647ae,Unlimited,590.36,5660,7.4,95.0,999,9999
336f0716a72da425,Premium,24.19,1492,49.4,85.75,50,2000
084b8cd578b01f29,Standard,14.44,290,9.9,93.2,10,1000
a1d8dcc5bae74561,Premium,36.19,997,5.0,88.09,50,2000
8aac151eac01acb4,Standard,14.77,613,0.9,100.13,10,1000
eb9cd6e41d8acaba,Standard,15.13,843,52.4,104.08,10,1000
58104766c363a8e5,Standard,4.12,681,54.6,55.29,10,1000
5dc251b0ea3dd5a8,Premium,12.48,352,4.0,78.28,50,2000
d4867d3e35a84e10,Basic,3.54,108,9.3,53.97,2,500
738ee2d2dec7c70f,Basic,1.76,138,1.8,45.39,2,500
726511f52718404f,Premium,50.94,1467,0.8,90.61,50,2000
5c8fd46b6c360bb2,Standard,5.79,537,20.8,45.0,10,1000
a27fcb27bc157766,Standard,3.15,447,3.2,49.33,10,1000
1f3770c34d2c300a,Basic,0.78,146,5.0,25.0,2,500
7ad65835abec24b3,Premium,65.71,1075,2.4,249.42,50,2000
48c83a848a5de322,Premium,16.89,221,8.7,84.48,50,2000
7533c2717e4bf256,Standard,10.76,623,2.3,55.16,10,1000
8aa93f0ec5e69819,Standard,4.71,788,6.0,45.47,10,1000
9d4efdb7a6e75f15,Premium,57.72,1606,1.6,162.27,50,2000
7a4b14c4a2a6bc52,Unlimited,930.24,4939,15.8,95.0,999,9999
02625270a6093702,Basic,1.5,251,7.8,25.0,2,500
9c27c7556f68be95,Basic,3.78,244,16.6,60.92,2,500
18c8c9fb8581d34b,Standard,3.93,424,8.5,45.0,10,1000
834e94844579b04a,Standard,3.3,540,0.4,49.88,10,1000
950b13eddac5a469,Premium,25.42,670,5.1,80.7,50,2000
969deefef9468465,Premium,59.52,1545,4.5,173.79,50,2000
aadb9172950e9841,Standard,24.66,850,40.4,191.56,10,1000
ac54394ee7c2a5e7,Standard,3.37,681,1.0,56.53,10,1000
f7839006ad213dc0,Standard,10.05,856,4.8,51.92,10,1000
31beb38d91f80f79,Premium,55.14,1413,3.5,133.37,50,2000
c3bed7fd4a63db02,Basic,3.12,387,1.5,38.64,2,500
66ed13448f78057b,Basic,2.35,187,3.5,28.48,2,500
3a2bb5828084c106,Basic,1.43,232,1.0,25.0,2,500
594fb571aec6ef86,Premium,19.83,1884,8.7,80.83,50,2000
0fb224a91de7fb5b,Standard,5.65,554,2.0,49.62,10,1000
06b5270c3238362f,Standard,9.63,548,3.1,46.63,10,1000
6889d7dfc9be00ff,Basic,2.49,281,25.6,52.16,2,500
d29ed61b989575ca,Premium,17.29,1485,25.7,95.41,50,2000
c021dd83812c4e8f,Standard,3.38,439,18.5,46.84,10,1000
7f637a28dc6a35a8,Standard,9.34,648,15.0,59.52,10,1000
ef0eccf4ee8e4eee,Unlimited,438.52,6981,17.6,95.0,999,9999
00c8eb602ca07505,Basic,1.07,350,18.1,34.45,2,500
8ba400400af6e98a,Standard,10.65,577,12.0,60.31,10,1000
0abbf32476d1ec0d,Basic,1.39,414,12.9,35.56,2,500
0c9e19be66462560,Basic,4.4,347,32.5,77.32,2,500
4d404680cb3102f4,Standard,3.43,600,2.6,64.24,10,1000
4ee9037dc4fa8870,Standard,5.45,586,5.3,47.34,10,1000
e7d1a1038365425f,Standard,7.83,220,7.8,51.77,10,1000
4eaedb4cac20817a,Standard,4.24,499,1.6,55.87,10,1000
f430ce0ff745ad72,Standard,5.76,298,4.3,45.0,10,1000
bbce839de493d26e,Premium,71.15,659,18.8,295.64,50,2000
bd5c35142706d5a9,Standard,8.21,592,9.3,57.31,10,1000
3f7b30a293f75aa6,Basic,1.4,286,2.1,25.1,2,500
f45fbbb952151b69,Unlimited,845.32,7525,3.7,108.42,999,9999
7c9aca82f2f2d9d3,Basic,1.21,309,11.2,32.81,2,500
966ed9640d83281d,Unlimited,284.66,7291,12.4,101.14,999,9999
41b92410cb27bdc0,Standard,6.71,200,6.3,53.53,10,1000
05dd179b1b785652,Standard,9.29,445,8.5,45.0,10,1000
1e8b0a3ad986fe62,Basic,1.33,274,25.7,25.0,2,500
06fd3451f76566c1,Unlimited,980.5,3677,18.5,96.19,999,9999
922d0dec1f048950,Standard,3.99,430,0.1,45.0,10,1000
40782170a4ceef91,Standard,3.84,440,6.8,45.0,10,1000
beba99b50a0cdb18,Premium,41.35,831,5.8,82.83,50,2000
e3b85f403916098b,Basic,0.57,492,3.4,25.0,2,500
6091e4c7ad0254be,Premium,41.65,390,37.3,83.33,50,2000
93b707ba610d675c,Standard,10.18,250,17.1,46.8,10,1000
9c0f03c4c5272490,Standard,4.93,769,14.2,46.19,10,1000
a3e098fbbecf29fb,Standard,3.3,588,67.3,47.91,10,1000
969e48e3f2f5b122,Basic,1.42,531,0.9,28.19,2,500
5bc28426c2a49bee,Premium,59.48,1002,20.9,181.43,50,2000
b21b0edc0a1e1569,Unlimited,447.54,5335,16.8,101.4,999,9999
be6bbfb542bc3fce,Basic,2.37,112,1.8,55.41,2,500
a5feeec56c2ea862,Premium,32.78,542,34.1,80.01,50,2000
972f8b223eec9c78,Unlimited,391.42,1730,4.6,114.93,999,9999
aa3839c8e01f3ff8,Basic,1.11,283,4.2,33.82,2,500
afac2075b097112a,Basic,1.2,228,3.5,36.49,2,500
98e0e6a54484a066,Basic,0.64,353,42.0,26.12,2,500
c801e397e94fe215,Unlimited,180.75,8601,79.0,120.02,999,9999
312a868130472c03,Standard,3.3,355,6.8,56.3,10,1000
0ff5b68dc15d2f28,Basic,3.18,249,0.7,51.98,2,500
7efb5b0a3a3e6e63,Premium,52.04,869,57.4,106.36,50,2000
ae3c96b3fadf1a11,Standard,3.59,272,6.5,53.23,10,1000
f4a9696846955b01,Standard,5.43,301,10.6,47.77,10,1000
80e0e72988f6ff41,Basic,1.19,102,27.4,34.35,2,500
421b6dffab174887,Basic,1.51,442,1.7,43.01,2,500
de2f549f50b81451,Unlimited,240.59,3654,6.4,95.96,999,9999
29ca721dd5a0dd0f,Standard,4.19,292,7.5,66.62,10,1000
4dfefc1a1e6abad2,Standard,9.36,229,2.6,52.42,10,1000
e540320e6d572304,Premium,66.49,1122,0.8,239.88,50,2000
f4bdd119019e20b9,Unlimited,563.38,2437,11.8,104.84,999,9999
88d4e7e9efa83f0f,Unlimited,682.11,3364,9.1,99.26,999,9999
9f609a5085cf0df2,Basic,1.68,450,9.7,32.64,2,500
608e0c062f19a18e,Premium,35.74,1344,4.0,75.0,50,2000
4a492b5599051c54,Basic,2.05,132,0.1,26.37,2,500
37b3c90bdde30b65,Premium,54.01,949,9.9,115.06,50,2000
36ddcc4fd592c185,Premium,35.76,1514,0.2,83.55,50,2000
556a1dea0452c6a1,Basic,0.81,261,16.1,25.0,2,500
e9e1dbf7c917bc0e,Standard,2.28,753,29.3,73.18,10,1000
c61a22ee630facd3,Standard,4.04,334,19.4,47.97,10,1000
b181d8f7d33ca031,Unlimited,415.89,6671,3.8,103.63,999,9999
3d10a05ed72c67a1,Basic,0.83,368,6.4,35.82,2,500
48c7d1f263857abb,Basic,1.09,323,31.6,27.48,2,500
26b610dabefedcb4,Basic,1.15,361,12.4,25.47,2,500
3efc2011745eaf83,Basic,1.39,404,0.8,25.0,2,500
25865a1d7d1b5e17,Standard,10.02,313,15.5,48.26,10,1000
852ce8c4a6cd50fa,Standard,6.67,856,0.7,45.0,10,1000
4692d72c24b5ccdb,Premium,41.07,646,9.0,77.64,50,2000
b6f20ac367cd0a9a,Premium,27.75,758,8.4,88.73,50,2000
e0073924ac9cc559,Basic,1.4,248,14.9,27.41,2,500
551a3ff6d230db36,Unlimited,782.97,5744,0.3,95.0,999,9999
9ccc168bd9d17832,Basic,1.82,465,34.9,25.0,2,500
0e52fe8d0c1330f3,Standard,4.25,405,8.4,45.0,10,1000
078890bc9cfe36ab,Basic,1.16,204,2.7,25.0,2,500
1a50c8cc6cf0250d,Premium,36.76,2344,14.7,87.57,50,2000
17db1bab7bfc5cda,Standard,7.31,634,9.8,48.43,10,1000
578e60e3d5ea5f84,Standard,3.79,572,12.4,45.0,10,1000
0d948130528d68f1,Premium,22.79,939,3.4,78.16,50,2000
cecb0e2361db767c,Basic,0.36,82,7.2,25.0,2,500
a583b7fb78095bbc,Premium,62.77,314,11.3,205.15,50,2000
02444a0e94bf5cb4,Basic,1.23,448,43.4,42.54,2,500
bab5abb3558e50b5,Standard,5.59,955,3.0,45.0,10,1000
c91bacd6a30aa469,Standard,10.03,297,6.9,48.82,10,1000
bf48e7373f32cceb,Standard,4.5,348,10.4,47.9,10,1000
070707d13f017b3b,Premium,12.46,1011,10.6,76.61,50,2000
8e785a0cf440e506,Standard,4.85,798,46.0,49.95,10,1000
86fb371c8cfa0ae5,Unlimited,629.49,3877,12.4,116.14,999,9999
456552f2836521f6,Standard,3.01,479,25.9,45.0,10,1000
a10a26df490257ce,Standard,12.79,946,9.3,77.62,10,1000
81779d35b9b222b1,Premium,67.31,802,2.6,248.07,50,2000
8573f0f0649f3bf4,Standard,4.56,199,19.4,60.52,10,1000
3b228c035f9aecaa,Standard,13.49,544,57.0,79.85,10,1000
375ed28e27e80876,Premium,21.63,1083,0.7,101.78,50,2000
afa89c88ef1414eb,Standard,3.1,152,0.8,58.42,10,1000
6353d82bf503f2c0,Standard,9.88,770,27.8,47.77,10,1000
63a84b28fad4ef93,Standard,4.45,433,1.9,50.41,10,1000
02a63ffa0ada161c,Basic,1.66,314,0.8,45.74,2,500
d94339c41935a735,Standard,5.97,685,20.5,52.07,10,1000
7800c9377a73041b,Premium,46.05,1786,14.5,75.0,50,2000
68ed82beb8916387,Premium,9.77,469,0.6,89.9,50,2000
280e1a9c2a20c1d4,Premium,25.07,1003,38.0,78.98,50,2000
ed23871c3726d3ac,Standard,5.25,474,24.1,48.5,10,1000
62206b36783a6029,Unlimited,525.32,5379,12.9,97.43,999,9999
aba32a2cf4171a25,Unlimited,337.57,7119,22.1,106.04,999,9999
8310600479b451c4,Basic,2.8,168,19.6,33.03,2,500
52523eeb20952ca3,Premium,37.64,933,9.5,80.91,50,2000
f0917e4bac8d8ef5,Standard,2.69,307,9.1,45.0,10,1000
d6c9561d92fd0f13,Basic,0.79,272,2.6,40.26,2,500
cb9bdf4f85088c16,Premium,63.75,1479,7.6,212.54,50,2000
d7b577bb0c3fa025,Standard,13.86,191,15.6,86.78,10,1000
d16e1d95f8c69201,Premium,24.32,459,0.8,75.0,50,2000
4bee5ca54629c196,Standard,9.3,705,5.3,50.53,10,1000
b53aef260b7cc3cd,Standard,6.48,535,16.5,48.41,10,1000
979e29ad5cab4855,Premium,83.56,828,15.2,426.78,50,2000
c538bbb01424059c,Premium,91.34,620,5.7,497.27,50,2000
e1fff2dda522b794,Standard,4.05,715,23.3,47.71,10,1000
1c659901e95c26c1,Standard,3.93,719,21.5,54.93,10,1000
85c28e1d59de216e,Basic,1.77,245,20.4,42.58,2,500
ebaa2bf4818336c2,Basic,1.88,258,28.7,41.99,2,500
85d2d906e134b10b,Standard,6.98,616,8.4,45.0,10,1000
f3353a4deab01cfc,Basic,1.1,84,1.4,31.51,2,500
4e3fbd76d0dd5cd9,Basic,0.98,333,48.7,33.78,2,500
00c640501c8e0017,Standard,12.7,608,2.9,71.95,10,1000
