customer_id,age,gender,city,annual_income,tenure_months,join_date
bc99c4b918ed18c5,33,Female,Houston,49731,14,2023-08-07
b2e378938f3d213a,18,Male,Houston,22607,1,2024-08-31
ca56cbd5c290565b,63,Male,New York,115804,17,2023-05-09
ff86d1ab6274a49f,35,Male,Los Angeles,38956,36,2021-10-16
b5728b7fe5b22538,44,Male,San Diego,57822,27,2022-07-13
f4fe4b4c872d4dc6,32,Male,Phoenix,52641,13,2023-09-06
775ebedc791f7fcc,54,Male,Chicago,44536,18,2023-04-09
55f7b5cc41062491,18,Female,Phoenix,20000,9,2024-01-04
5b66891f06c1b32b,26,Male,San Antonio,20000,10,2023-12-05
ae3262443e521c11,19,Male,New York,54109,1,2024-08-31
7020b62b156e377f,31,Male,San Antonio,44617,29,2022-05-14
d7295a9339cf5ac0,45,Female,San Antonio,54500,14,2023-08-07
6e748cdb7667a2ff,39,Male,Phoenix,38612,24,2022-10-11
987388bc3575277e,18,Other,San Antonio,41437,30,2022-04-14
0614876edb7a81b7,41,Female,Los Angeles,86243,1,2024-08-31
24b1b53ad693f4b0,44,Male,Chicago,54008,28,2022-06-13
5ba382aa7582d5ba,55,Male,Dallas,93908,21,2023-01-09
808e182391b51578,46,Male,New York,85604,14,2023-08-07
391d0ed3d62b5e3c,56,Male,New York,74430,10,2023-12-05
90d926b25b8f91a1,54,Male,Los Angeles,46956,8,2024-02-03
3b97c56363545466,18,Male,New York,45737,9,2024-01-04
37445dba16c4bc6d,34,Female,Los Angeles,41103,1,2024-08-31
b1a1232e8939b06b,18,Male,New York,38482,22,2022-12-10
69f09c99e99a219d,35,Male,Houston,42337,27,2022-07-13
5fd64a0b57c4fb0a,47,Male,Phoenix,50434,34,2021-12-15
05b07554daecbdfd,52,Male,San Jose,67079,12,2023-10-06
84f436a7f5d0eece,34,Male,New York,73641,21,2023-01-09
027fa0510b317e89,52,Female,Los Angeles,51513,2,2024-08-01
2ce46f4511f358d2,28,Female,New York,79623,10,2023-12-05
229d0cfd38e6b317,45,Female,New York,38932,4,2024-06-02
15af4e7ec7cb35e2,62,Male,New York,134273,54,2020-04-24
fba871dff120b91e,39,Male,Phoenix,47033,45,2021-01-19
7f9c3a9037162771,45,Female,New York,73835,4,2024-06-02
5b61b78147c0681b,46,Male,New York,54190,19,2023-03-10
f2879f9094bece2c,44,Male,New York,65733,16,2023-06-08
bd5330f183223d44,53,Female,Houston,77025,20,2023-02-08
9a26cf3566b3ef4c,76,Male,Houston,78604,60,2019-10-27
2275584f1ac87bcb,46,Female,Chicago,71288,20,2023-02-08
3bfacafe11844e97,51,Male,New York,56605,24,2022-10-11
140f57b8b687ee67,41,Male,San Diego,58947,33,2022-01-14
7b139bd1d3654683,40,Other,San Jose,82187,46,2020-12-20
85c01c2d7a9e18d1,27,Male,Chicago,31071,11,2023-11-05
48973778cf10fc15,24,Male,New York,72337,9,2024-01-04
9007e3dd3e1e9a63,48,Female,New York,56000,13,2023-09-06
5b2ab5cf82af681a,49,Female,Houston,112590,29,2022-05-14
c18ca776d96260d8,43,Male,Phoenix,41665,9,2024-01-04
8873eafce12cbae2,18,Female,New York,45967,1,2024-08-31
42060259d81626b0,28,Female,Philadelphia,34626,5,2024-05-03
840ee4fcb448aeaa,60,Male,Los Angeles,73597,28,2022-06-13
85ef579108b681d4,18,Female,New York,42635,13,2023-09-06
a22d3779bff97a6e,68,Male,Dallas,59838,14,2023-08-07
988cb6000cbe03cd,44,Female,Houston,59468,13,2023-09-06
58a31580d5b844ef,19,Male,Philadelphia,24713,1,2024-08-31
3eae138560a50297,37,Other,New York,46982,1,2024-08-31
ed9d87f833a21622,18,Male,Los Angeles,20000,12,2023-10-06
a838050b36c551af,42,Female,Phoenix,57512,22,2022-12-10
1fd35a5a20a4839d,38,Female,Dallas,46913,20,2023-02-08
29e072ba2c755ec1,26,Female,San Antonio,35517,23,2022-11-10
1b8624a6c7d05fe3,24,Male,New York,56770,11,2023-11-05
4b170a397045249a,34,Male,San Antonio,41322,1,2024-08-31
d4b1696dc5e1e73e,41,Female,Los Angeles,27184,60,2019-10-27
5a506a5135d297e5,54,Male,New York,88717,33,2022-01-14
7b5f8066095b9e86,41,Male,Philadelphia,52667,10,2023-12-05
215016c0ab4881c3,18,Female,Philadelphia,37218,6,2024-04-03
eadf83c82aa9344d,42,Female,Los Angeles,75796,54,2020-04-24
921616de58b647ae,47,Female,Chicago,56465,16,2023-06-08
336f0716a72da425,18,Male,Phoenix,22133,33,2022-01-14
084b8cd578b01f29,31,Female,Los Angeles,48321,52,2020-06-23
a1d8dcc5bae74561,55,Female,San Antonio,60336,13,2023-09-06
8aac151eac01acb4,34,Male,San Jose,64793,11,2023-11-05
